Executing /workspace/m1_dev/python_env/../adarand/ada_rand.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1, 'reg_lambda': 1.0, 'rand_lr': 0.001}
Epoch 0/200, Loss: 0.14913999700340733, CE: 0.14642583850422516, Reg: 0.0027141584596124114, Top-1 Acc: 0.09398034398034398, Top-5 Acc: 0.31633906633906633
Epoch 1/200, Loss: 0.0960243535893304, CE: 0.09094219476792026, Reg: 0.005082158682629319, Top-1 Acc: 0.3703931203931204, Top-5 Acc: 0.7248157248157249
Epoch 2/200, Loss: 0.054393251577915226, CE: 0.048589262725978064, Reg: 0.0058039889666320656, Top-1 Acc: 0.4950859950859951, Top-5 Acc: 0.8058968058968059
Epoch 3/200, Loss: 0.028982394260212117, CE: 0.023364857568639544, Reg: 0.005617536753507817, Top-1 Acc: 0.5528255528255528, Top-5 Acc: 0.8531941031941032
Epoch 4/200, Loss: 0.014523398424751066, CE: 0.009406144405013235, Reg: 0.005117254035795117, Top-1 Acc: 0.628992628992629, Top-5 Acc: 0.8882063882063882
Epoch 5/200, Loss: 0.007539962838160727, CE: 0.0033623332328626453, Reg: 0.004177629631104434, Top-1 Acc: 0.7174447174447175, Top-5 Acc: 0.9305896805896806
Epoch 6/200, Loss: 0.004657230182812352, CE: 0.0013928114843160244, Reg: 0.003264418683872728, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9453316953316954
Epoch 7/200, Loss: 0.0034350548123050794, CE: 0.0007846451847896604, Reg: 0.002650409624934784, Top-1 Acc: 0.7874692874692875, Top-5 Acc: 0.9447174447174447
Epoch 8/200, Loss: 0.0028892256906760737, CE: 0.0006038594553407667, Reg: 0.002285366234475095, Top-1 Acc: 0.7868550368550369, Top-5 Acc: 0.9477886977886978
Epoch 9/200, Loss: 0.00275986767465735, CE: 0.0006278412648261034, Reg: 0.002132026405816925, Top-1 Acc: 0.7899262899262899, Top-5 Acc: 0.9459459459459459
Epoch 10/200, Loss: 0.002528905550825405, CE: 0.0005614978438065493, Reg: 0.001967407699922109, Top-1 Acc: 0.7757985257985258, Top-5 Acc: 0.941031941031941
Epoch 11/200, Loss: 0.0021333525403462385, CE: 0.0003832401018165364, Reg: 0.0017501124395332827, Top-1 Acc: 0.7702702702702703, Top-5 Acc: 0.9404176904176904
Epoch 12/200, Loss: 0.0019258099070204229, CE: 0.000323688429919372, Reg: 0.0016021214791440538, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.9441031941031941
Epoch 13/200, Loss: 0.001913756448683774, CE: 0.00040444165026353845, Reg: 0.0015093147997822375, Top-1 Acc: 0.6382063882063882, Top-5 Acc: 0.8820638820638821
Epoch 14/200, Loss: 0.035001607661094204, CE: 0.03200549664196049, Reg: 0.002996111075334214, Top-1 Acc: 0.5448402948402948, Top-5 Acc: 0.8415233415233415
Epoch 15/200, Loss: 0.010124807755274726, CE: 0.007107933429803865, Reg: 0.003016874304252305, Top-1 Acc: 0.691031941031941, Top-5 Acc: 0.914004914004914
Epoch 16/200, Loss: 0.003788757712575676, CE: 0.0013658693720491402, Reg: 0.0024228883297022046, Top-1 Acc: 0.7573710073710074, Top-5 Acc: 0.9441031941031941
Epoch 17/200, Loss: 0.0025744938837557003, CE: 0.0006192015493867845, Reg: 0.001955292330999753, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9508599508599509
Epoch 18/200, Loss: 0.0021296391972418635, CE: 0.00039571650906034694, Reg: 0.0017339226828768776, Top-1 Acc: 0.7905405405405406, Top-5 Acc: 0.9502457002457002
Epoch 19/200, Loss: 0.0018997283972423578, CE: 0.00029928127701997557, Reg: 0.0016004471200073294, Top-1 Acc: 0.788083538083538, Top-5 Acc: 0.9533169533169533
Epoch 20/200, Loss: 0.0017718827842821922, CE: 0.00025755231172073487, Reg: 0.0015143304787979925, Top-1 Acc: 0.792997542997543, Top-5 Acc: 0.9527027027027027
Epoch 21/200, Loss: 0.001664870600973077, CE: 0.0002254523382980372, Reg: 0.0014394182612055115, Top-1 Acc: 0.7985257985257985, Top-5 Acc: 0.949017199017199
Epoch 22/200, Loss: 0.0015886914233901892, CE: 0.00021172580945768893, Reg: 0.0013769656142192375, Top-1 Acc: 0.7917690417690417, Top-5 Acc: 0.9484029484029484
Epoch 23/200, Loss: 0.0015065288268662806, CE: 0.00018389630179451962, Reg: 0.0013226325270430796, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9465601965601965
Epoch 24/200, Loss: 0.0014539391503169252, CE: 0.0001808468682275399, Reg: 0.0012730922793116183, Top-1 Acc: 0.7886977886977887, Top-5 Acc: 0.949017199017199
Epoch 25/200, Loss: 0.0016496069413917186, CE: 0.00028542384291365926, Reg: 0.0013641831040694355, Top-1 Acc: 0.788083538083538, Top-5 Acc: 0.9404176904176904
Epoch 26/200, Loss: 0.002306934487386584, CE: 0.0008039966680030935, Reg: 0.0015029378179139618, Top-1 Acc: 0.5307125307125307, Top-5 Acc: 0.8095823095823096
Epoch 27/200, Loss: 0.02105615127905102, CE: 0.018591258565899847, Reg: 0.0024648927406779506, Top-1 Acc: 0.5706388206388207, Top-5 Acc: 0.8323095823095823
Epoch 28/200, Loss: 0.005201681729250133, CE: 0.0029634290406069822, Reg: 0.0022382526853456726, Top-1 Acc: 0.7186732186732187, Top-5 Acc: 0.9213759213759214
Epoch 29/200, Loss: 0.0024373136280710105, CE: 0.0005966708042358938, Reg: 0.0018406428243010649, Top-1 Acc: 0.757985257985258, Top-5 Acc: 0.9404176904176904
Epoch 30/200, Loss: 0.0019347745159026145, CE: 0.0003421365230311548, Reg: 0.0015926379911151939, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9477886977886978
Epoch 31/200, Loss: 0.0017515832221071269, CE: 0.0002805130349810802, Reg: 0.0014710701862120717, Top-1 Acc: 0.773955773955774, Top-5 Acc: 0.9453316953316954
Epoch 32/200, Loss: 0.0016060593845368606, CE: 0.00020363239370449333, Reg: 0.0014024269904739457, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9471744471744472
Epoch 33/200, Loss: 0.0015257773009069227, CE: 0.0001796197859687086, Reg: 0.0013461575150636616, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9465601965601965
Epoch 34/200, Loss: 0.0014634375773562953, CE: 0.00016281847606052925, Reg: 0.0013006191030878738, Top-1 Acc: 0.7856265356265356, Top-5 Acc: 0.9447174447174447
Epoch 35/200, Loss: 0.001408542541952189, CE: 0.00014875073482588123, Reg: 0.0012597918035600134, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9428746928746928
Epoch 36/200, Loss: 0.001362357934331292, CE: 0.00013738765506437415, Reg: 0.0012249702798762345, Top-1 Acc: 0.7825552825552825, Top-5 Acc: 0.9422604422604423
Epoch 37/200, Loss: 0.0013303734950510225, CE: 0.00013525296178826458, Reg: 0.0011951205345889177, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9422604422604423
Epoch 38/200, Loss: 0.0012923230450334294, CE: 0.00012460154451626545, Reg: 0.001167721499854084, Top-1 Acc: 0.7721130221130221, Top-5 Acc: 0.941031941031941
Epoch 39/200, Loss: 0.0012674953437552517, CE: 0.00012742220948486397, Reg: 0.001140073136187943, Top-1 Acc: 0.773955773955774, Top-5 Acc: 0.941031941031941
Epoch 40/200, Loss: 0.0012152336034327378, CE: 0.00010215508860137068, Reg: 0.0011130785185320697, Top-1 Acc: 0.7757985257985258, Top-5 Acc: 0.9361179361179361
Epoch 41/200, Loss: 0.001203947808946772, CE: 0.00011749364042090048, Reg: 0.0010864541669756982, Top-1 Acc: 0.7684275184275184, Top-5 Acc: 0.941031941031941
Epoch 42/200, Loss: 0.0011965789444506022, CE: 0.00011727289118228556, Reg: 0.0010793060574708093, Top-1 Acc: 0.734029484029484, Top-5 Acc: 0.9226044226044227
Epoch 43/200, Loss: 0.01790289670054622, CE: 0.015883590846713588, Reg: 0.002019305828169649, Top-1 Acc: 0.5841523341523341, Top-5 Acc: 0.8538083538083538
Epoch 44/200, Loss: 0.004346520228201312, CE: 0.0023459576103570206, Reg: 0.002000562617844292, Top-1 Acc: 0.734029484029484, Top-5 Acc: 0.9244471744471745
Epoch 45/200, Loss: 0.0020726940467302216, CE: 0.0004155336568944083, Reg: 0.001657160390696025, Top-1 Acc: 0.769041769041769, Top-5 Acc: 0.9361179361179361
Epoch 46/200, Loss: 0.0017527507215490555, CE: 0.0002737512609044267, Reg: 0.0014789994614510774, Top-1 Acc: 0.7708845208845209, Top-5 Acc: 0.9336609336609336
