Executing /workspace/m1_dev/python_env/../adarand/fine_tuning.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1}
Epoch 0/200, Loss: 0.14459861840667396, Top-1 Acc: 0.10319410319410319, Top-5 Acc: 0.26842751842751844
Epoch 1/200, Loss: 0.09403726854935068, Top-1 Acc: 0.22358722358722358, Top-5 Acc: 0.5565110565110565
Epoch 2/200, Loss: 0.054713394905766245, Top-1 Acc: 0.3759213759213759, Top-5 Acc: 0.7106879606879607
Epoch 3/200, Loss: 0.029861361559095054, Top-1 Acc: 0.5405405405405406, Top-5 Acc: 0.8482800982800983
Epoch 4/200, Loss: 0.014945960319211037, Top-1 Acc: 0.6179361179361179, Top-5 Acc: 0.8826781326781327
Epoch 5/200, Loss: 0.00788106544349306, Top-1 Acc: 0.5988943488943489, Top-5 Acc: 0.8648648648648649
Epoch 6/200, Loss: 0.004024147798979352, Top-1 Acc: 0.648034398034398, Top-5 Acc: 0.894963144963145
Epoch 7/200, Loss: 0.0027549935411891255, Top-1 Acc: 0.6732186732186732, Top-5 Acc: 0.9017199017199017
Epoch 8/200, Loss: 0.0023247029645519853, Top-1 Acc: 0.6455773955773956, Top-5 Acc: 0.8931203931203932
Epoch 9/200, Loss: 0.004438081435446876, Top-1 Acc: 0.5577395577395577, Top-5 Acc: 0.8286240786240786
Epoch 10/200, Loss: 0.004768845950955241, Top-1 Acc: 0.5681818181818182, Top-5 Acc: 0.8409090909090909
Epoch 11/200, Loss: 0.0028645678813594483, Top-1 Acc: 0.5902948402948403, Top-5 Acc: 0.8409090909090909
Epoch 12/200, Loss: 0.0031544935373845166, Top-1 Acc: 0.5681818181818182, Top-5 Acc: 0.828009828009828
Epoch 13/200, Loss: 0.0021096987029298993, Top-1 Acc: 0.6296068796068796, Top-5 Acc: 0.8894348894348895
Epoch 14/200, Loss: 0.0014396608045715792, Top-1 Acc: 0.6769041769041769, Top-5 Acc: 0.9004914004914005
Epoch 15/200, Loss: 0.0017151871224861876, Top-1 Acc: 0.6197788697788698, Top-5 Acc: 0.8630221130221131
Epoch 16/200, Loss: 0.00234079873436641, Top-1 Acc: 0.6148648648648649, Top-5 Acc: 0.8587223587223587
